类型 总量 命中率 时间
dleft 1000 0 95
dleft 3000 0 280
dleft 5000 0 462
dleft 7000 0 639
dleft 9000 0 981
dleft 11000 0 1348
dleft 13000 0 1554
dleft 15000 0 1424
dleft 17000 0 1607
dleft 19000 0 1777
dleft 21000 0 2029
dleft 23000 0 2770
dleft 25000 0 2948
dleft 27000 0 2980
dleft 29000 0 3032
dleft 31000 0 3085
dleft 33000 0 3116
dleft 35000 0 3270
dleft 37000 0 3714
dleft 39000 0 3721
dleft 41000 0 3857
dleft 43000 0 4060
dleft 45000 0 4242
dleft 47000 0 4456
dleft 49000 0 5200
dleft 51000 0 5185
dleft 53000 0 5187
dleft 55000 0 5245
dleft 57000 0 5398
dleft 59000 0 5587
dleft 61000 0 5741
dleft 63000 0 6094
dleft 65000 0 6118
dleft 67000 0 6313
dleft 69000 0 6481
dleft 71000 0 6636
dleft 73000 0 6874
dleft 75000 0 7234
dleft 77000 0 7426
dleft 79000 0 7513
dleft 81000 0 7703
dleft 83000 0 8095
dleft 85000 0 8094
dleft 87000 0 8282
dleft 89000 0 8397
dleft 91000 0 8617
dleft 93000 0 9288
dleft 95000 0 9041
dleft 97000 0 9224
dleft 99000 0 9848
dleft 1000 1 77
dleft 3000 1 234
dleft 5000 1 401
dleft 7000 1 563
dleft 9000 1 743
dleft 11000 1 893
dleft 13000 1 1076
dleft 15000 1 1189
dleft 17000 1 1390
dleft 19000 1 1552
dleft 21000 1 2070
dleft 23000 1 2166
dleft 25000 1 2209
dleft 27000 1 2373
dleft 29000 1 2408
dleft 31000 1 2517
dleft 33000 1 2667
dleft 35000 1 2855
dleft 37000 1 3002
dleft 39000 1 3128
dleft 41000 1 3263
dleft 43000 1 3391
dleft 45000 1 3787
dleft 47000 1 4062
dleft 49000 1 5265
dleft 51000 1 4097
dleft 53000 1 4259
dleft 55000 1 4409
dleft 57000 1 4611
dleft 59000 1 4762
dleft 61000 1 4876
dleft 63000 1 5032
dleft 65000 1 5238
dleft 67000 1 5383
dleft 69000 1 5500
dleft 71000 1 5681
dleft 73000 1 5993
dleft 75000 1 6009
dleft 77000 1 6192
dleft 79000 1 6492
dleft 81000 1 6479
dleft 83000 1 6623
dleft 85000 1 6847
dleft 87000 1 7069
dleft 89000 1 7252
dleft 91000 1 7502
dleft 93000 1 7390
dleft 95000 1 7573
dleft 97000 1 7737
dleft 99000 1 7924
